,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,text
200,-0.6597,Wed Jan 03 13:55:18 +0000 2018,0.794,0.206,0.0,3,@CNN,"Geriatricians, cancer specialists and health system analysts say that an epidemic of medical tests in older patient… https://t.co/dLoYvuPrsg"
201,-0.2263,Wed Jan 03 13:42:03 +0000 2018,0.872,0.128,0.0,3,@CNN,"5 things for Wednesday:

- North and South Korea
- Politics
- Iran protests
- Joshua Boyle
- Weather… https://t.co/YI5TQMzaKk"
202,0.3612,Wed Jan 03 13:40:25 +0000 2018,0.762,0.0,0.238,3,@CNN,This is what subzero temperature looks like https://t.co/nWeGa7Ts5L https://t.co/rar7aOqxuA
203,0.2732,Wed Jan 03 13:36:57 +0000 2018,0.877,0.0,0.123,3,@CNN,"When bombogenesis happens, low-pressure systems can create hurricane-force winds. Even though they are not technica… https://t.co/eZlS6mNptZ"
204,-0.6912,Wed Jan 03 13:23:51 +0000 2018,0.712,0.237,0.051,3,@CNN,"New York City has not gotten above freezing since Christmas Day, and now a “bomb cyclone” is threatening to slam th… https://t.co/BygWJk0frc"
205,0.5256,Wed Jan 03 13:22:06 +0000 2018,0.841,0.0,0.159,3,@CNN,Ripple's recent price spike has made it the second most valuable cryptocurrency after bitcoin. Here's how it works… https://t.co/9YmK6vWzrh
206,0.0,Wed Jan 03 13:07:52 +0000 2018,1.0,0.0,0.0,3,@CNN,"US forces conducted an airstrike on Tuesday targeting Al-Shabaab militants in Somalia, the latest military action a… https://t.co/UBzbHim6Rq"
207,0.0,Wed Jan 03 12:56:07 +0000 2018,1.0,0.0,0.0,3,@CNN,Donald Trump's nuclear button is bigger than yours | Analysis by @CillizzaCNN https://t.co/Pp29j0JHS3 https://t.co/vRTD4zDAnw
208,-0.5574,Wed Jan 03 12:46:18 +0000 2018,0.847,0.153,0.0,3,@CNN,"Thomas S. Monson, Mormon church president, has died at his home in Salt Lake City, Utah, according to a statement f… https://t.co/S94iNIMGws"
209,0.0,Wed Jan 03 12:43:42 +0000 2018,1.0,0.0,0.0,3,@CNN,"It's really, really cold. How cold? Every state in the continental US had at least one weather reporting station me… https://t.co/ZcNvROPL7A"
210,0.0,Wed Jan 03 12:30:15 +0000 2018,1.0,0.0,0.0,3,@CNN,"Reversing guidelines put in place under former President Obama, the Trump administration is scaling back the use of… https://t.co/nIVe6b2cWw"
211,0.0,Wed Jan 03 12:23:02 +0000 2018,1.0,0.0,0.0,3,@CNN,"So far mum on whether he will make a bid for the Senate from Utah, Mitt Romney's Twitter account on Tuesday was upd… https://t.co/qFfyPFwgEq"
212,0.0,Wed Jan 03 12:13:40 +0000 2018,1.0,0.0,0.0,3,@CNN,The 10 Senate seats most likely to flip in 2018 https://t.co/PMKqJiBeT7 https://t.co/5RgAMVWQE2
213,0.3612,Wed Jan 03 12:13:05 +0000 2018,0.762,0.0,0.238,3,@CNN,This is what subzero temperature looks like https://t.co/Nvizt2ikxi https://t.co/VEck70eDFK
